iso,year,gas,emissions_quantity,emissions_quantity_units
ETH,2015-01-01 00:00:00,n2o,163.066581,tonnes
ETH,2015-01-01 00:00:00,co2,1413957.079,tonnes
ETH,2015-01-01 00:00:00,ch4,455590.002071,tonnes
ETH,2015-01-01 00:00:00,co2e_20yr,39726566.83034800,tonnes
ETH,2015-01-01 00:00:00,co2e_100yr,14213689.780953,tonnes
ETH,2016-01-01 00:00:00,n2o,196.746955,tonnes
ETH,2016-01-01 00:00:00,co2,1243017.165,tonnes
ETH,2016-01-01 00:00:00,ch4,466320.935736,tonnes
ETH,2016-01-01 00:00:00,co2e_20yr,40465916.962944,tonnes
ETH,2016-01-01 00:00:00,co2e_100yr,14352141.308683,tonnes
ETH,2017-01-01 00:00:00,n2o,213.881227,tonnes
ETH,2017-01-01 00:00:00,co2,1026408.495,tonnes
ETH,2017-01-01 00:00:00,ch4,477125.077058,tonnes
ETH,2017-01-01 00:00:00,co2e_20yr,41161379.6118,tonnes
ETH,2017-01-01 00:00:00,co2e_100yr,14442589.177779,tonnes
ETH,2018-01-01 00:00:00,n2o,238.779859,tonnes
ETH,2018-01-01 00:00:00,co2,1089135.645,tonnes
ETH,2018-01-01 00:00:00,ch4,485531.895216,tonnes
ETH,2018-01-01 00:00:00,co2e_20yr,41936852.72592,tonnes
ETH,2018-01-01 00:00:00,co2e_100yr,14747305.373683,tonnes
ETH,2019-01-01 00:00:00,n2o,258.458348,tonnes
ETH,2019-01-01 00:00:00,co2,1166676.683,tonnes
ETH,2019-01-01 00:00:00,ch4,498277.476327,tonnes
ETH,2019-01-01 00:00:00,co2e_20yr,43090217.69834,tonnes
ETH,2019-01-01 00:00:00,co2e_100yr,15186937.482376,tonnes
ETH,2020-01-01 00:00:00,n2o,226.602447,tonnes
ETH,2020-01-01 00:00:00,co2,1022879.678,tonnes
ETH,2020-01-01 00:00:00,ch4,503530.270906,tonnes
ETH,2020-01-01 00:00:00,co2e_20yr,43379245.480112,tonnes
ETH,2020-01-01 00:00:00,co2e_100yr,15181776.911823,tonnes
ETH,2021-01-01 00:00:00,n2o,241.893367,tonnes
ETH,2021-01-01 00:00:00,co2,1091902.636,tonnes
ETH,2021-01-01 00:00:00,ch4,504357.613708,tonnes
ETH,2021-01-01 00:00:00,co2e_20yr,43521802.03636,tonnes
ETH,2021-01-01 00:00:00,co2e_100yr,15278017.562079,tonnes
EGY,2015-01-01 00:00:00,n2o,1046.3985280000000,tonnes
EGY,2015-01-01 00:00:00,co2,18922453.79,tonnes
EGY,2015-01-01 00:00:00,ch4,16499.115045,tonnes
EGY,2015-01-01 00:00:00,co2e_20yr,20584628.665172,tonnes
EGY,2015-01-01 00:00:00,co2e_100yr,19661724.62118,tonnes
EGY,2016-01-01 00:00:00,n2o,1094.427271,tonnes
EGY,2016-01-01 00:00:00,co2,19458091.01,tonnes
EGY,2016-01-01 00:00:00,ch4,16646.453264,tonnes
EGY,2016-01-01 00:00:00,co2e_20yr,21145321.88372,tonnes
EGY,2016-01-01 00:00:00,co2e_100yr,20214214.928207000,tonnes
EGY,2017-01-01 00:00:00,n2o,1058.920172,tonnes
EGY,2017-01-01 00:00:00,co2,19448554.77,tonnes
EGY,2017-01-01 00:00:00,ch4,16917.032565,tonnes
