name,iso,population,year,gas,emissions_quantity
Ethiopia,ETH,"121,922,416",2015-01-01 00:00:00,n2o,163.066581
Ethiopia,ETH,"121,922,416",2015-01-01 00:00:00,co2,1413957.079
Ethiopia,ETH,"121,922,416",2015-01-01 00:00:00,ch4,455590.002071
Ethiopia,ETH,"121,922,416",2015-01-01 00:00:00,co2e_20yr,39726566.830348
Ethiopia,ETH,"121,922,416",2015-01-01 00:00:00,co2e_100yr,14213689.780953
Ethiopia,ETH,"121,922,416",2016-01-01 00:00:00,n2o,196.746955
Ethiopia,ETH,"121,922,416",2016-01-01 00:00:00,co2,1243017.165
Ethiopia,ETH,"121,922,416",2016-01-01 00:00:00,ch4,466320.935736
Ethiopia,ETH,"121,922,416",2016-01-01 00:00:00,co2e_20yr,40465916.962944
Ethiopia,ETH,"121,922,416",2016-01-01 00:00:00,co2e_100yr,14352141.308683
Ethiopia,ETH,"121,922,416",2017-01-01 00:00:00,n2o,213.881227
Ethiopia,ETH,"121,922,416",2017-01-01 00:00:00,co2,1026408.495
Ethiopia,ETH,"121,922,416",2017-01-01 00:00:00,ch4,477125.077058
Ethiopia,ETH,"121,922,416",2017-01-01 00:00:00,co2e_20yr,41161379.6118
Ethiopia,ETH,"121,922,416",2017-01-01 00:00:00,co2e_100yr,14442589.177779
Ethiopia,ETH,"121,922,416",2018-01-01 00:00:00,n2o,238.779859
Ethiopia,ETH,"121,922,416",2018-01-01 00:00:00,co2,1089135.645
Ethiopia,ETH,"121,922,416",2018-01-01 00:00:00,ch4,485531.895216
Ethiopia,ETH,"121,922,416",2018-01-01 00:00:00,co2e_20yr,41936852.72592
Ethiopia,ETH,"121,922,416",2018-01-01 00:00:00,co2e_100yr,14747305.373683
Ethiopia,ETH,"121,922,416",2019-01-01 00:00:00,n2o,258.458348
Ethiopia,ETH,"121,922,416",2019-01-01 00:00:00,co2,1166676.683
Ethiopia,ETH,"121,922,416",2019-01-01 00:00:00,ch4,498277.476327
Ethiopia,ETH,"121,922,416",2019-01-01 00:00:00,co2e_20yr,43090217.69834
Ethiopia,ETH,"121,922,416",2019-01-01 00:00:00,co2e_100yr,15186937.482376
Ethiopia,ETH,"121,922,416",2020-01-01 00:00:00,n2o,226.602447
Ethiopia,ETH,"121,922,416",2020-01-01 00:00:00,co2,1022879.678
Ethiopia,ETH,"121,922,416",2020-01-01 00:00:00,ch4,503530.270906
Ethiopia,ETH,"121,922,416",2020-01-01 00:00:00,co2e_20yr,43379245.480112
Ethiopia,ETH,"121,922,416",2020-01-01 00:00:00,co2e_100yr,15181776.911823
Ethiopia,ETH,"121,922,416",2021-01-01 00:00:00,n2o,241.893367
Ethiopia,ETH,"121,922,416",2021-01-01 00:00:00,co2,1091902.636
Ethiopia,ETH,"121,922,416",2021-01-01 00:00:00,ch4,504357.613708
Ethiopia,ETH,"121,922,416",2021-01-01 00:00:00,co2e_20yr,43521802.03636
Ethiopia,ETH,"121,922,416",2021-01-01 00:00:00,co2e_100yr,15278017.562079
Egypt,EGY,"106,981,048",2015-01-01 00:00:00,n2o,1046.398528
Egypt,EGY,"106,981,048",2015-01-01 00:00:00,co2,18922453.79
Egypt,EGY,"106,981,048",2015-01-01 00:00:00,ch4,16499.115045
Egypt,EGY,"106,981,048",2015-01-01 00:00:00,co2e_20yr,20584628.665172
Egypt,EGY,"106,981,048",2015-01-01 00:00:00,co2e_100yr,19661724.62118
Egypt,EGY,"106,981,048",2016-01-01 00:00:00,n2o,1094.427271
Egypt,EGY,"106,981,048",2016-01-01 00:00:00,co2,19458091.01
Egypt,EGY,"106,981,048",2016-01-01 00:00:00,ch4,16646.453264
