iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.0526,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.191247
COD,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,6298.468760000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.191247
COD,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,200374.83590399998,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.191247
COD,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,16837798.571095996,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.191247
COD,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5616807.813072,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.191247
COD,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.0263,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:17.69083
COD,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,3149.08339,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:17.69083
COD,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,207359.77768099998,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:17.69083
COD,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,17421377.351794,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:17.69083
COD,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5809229.827957999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:17.69083
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.0184,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:09.286599
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,2204.44681,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:09.286599
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,242370.956499,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:09.286599
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,20361369.650326,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:09.286599
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,6788596.104781999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:09.286599
COD,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.0342,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.017232
COD,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,4097.02737,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.017232
COD,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,209319.638323,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.017232
COD,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,17586955.675302,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.017232
COD,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5865055.963414,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.017232
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.00147,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:38.668857
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,176.40664999999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:38.668857
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,209319.093035,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:38.668857
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,17582980.60967,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:38.668857
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5861111.401180001,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:38.668857
COD,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.00134,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:22.545292
COD,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,160.813962,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:22.545292
COD,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,212442.596,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:22.545292
COD,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,17845339.231722,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:22.545292
COD,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5948553.857062001,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:22.545292
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,0.0014399999999999999,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.094026
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,172.54480999999998,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.094026
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,212442.5976,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.094026
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,17845351.123370003,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.094026
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5948565.65921,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.094026
