iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ETH,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,163.06658099999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.861254
ETH,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1413957.079,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
ETH,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,455590.002071,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.861254
ETH,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,39726566.83034801,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
ETH,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,14213689.780953,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
ETH,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,196.746955,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:18.364934
ETH,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1243017.165,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:51.072187
ETH,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,466320.935736,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:18.364934
ETH,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,40465916.962944,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:51.072187
ETH,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,14352141.308682999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:51.072187
ETH,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,213.881227,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:10.029979
ETH,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1026408.4949999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
ETH,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,477125.077058,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:10.029979
ETH,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,41161379.6118,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
ETH,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,14442589.177779,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
ETH,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,238.77985900000002,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.638428
ETH,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1089135.645,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
ETH,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,485531.895216,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.638428
ETH,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,41936852.72592,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
ETH,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,14747305.373683,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
ETH,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,258.458348,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:39.698081
