iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
KEN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,22.153449,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:43.164748
KEN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1350645.604,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:21.391712
KEN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,125639.444959,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:43.164748
KEN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,11910207.491092,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:21.391712
KEN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,4874420.726837,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:21.391712
KEN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,24.31842,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:19.665157
KEN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1325083.258,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:54.47892
KEN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,128707.363333,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:19.665157
KEN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,12142921.840852,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:54.47892
KEN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,4935333.812623999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:54.47892
KEN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,36.151314,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:11.996752
KEN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1643665.9239999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:31.438304
KEN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,131811.463208,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:11.996752
KEN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,12725372.780368,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:31.438304
KEN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5343966.992034,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:31.438304
KEN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,34.67836,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:53.255181
KEN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1384492.8050000002,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:10.786521
KEN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,134843.960761,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:53.255181
KEN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,12720540.595964,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:10.786521
