iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,18.0399,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:45.279327
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1634210.66,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:25.13087
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,1216140.29378,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:45.279327
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,103794757.87111999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:25.13087
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,35690919.45934,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:25.13087
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,18.499789999999997,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:20.872509
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,1749766.27,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:59.810545
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,1237375.00028,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:20.872509
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,105694150.23808001,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:59.810545
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,36401168.72219,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:59.810545
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,19.065144,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:13.650128
