iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ZAF,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1456.1656999999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:47.871132
ZAF,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,28631975.97,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:34.51755
ZAF,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,91146.88553,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:47.871132
ZAF,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,36672742.09932,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:34.51755
ZAF,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,31569972.67534,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:34.51755
ZAF,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1305.832608,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:36.91814
ZAF,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,25855311.07,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:10.873313
ZAF,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,84262.81998999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:36.91814
ZAF,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,33278127.757671997,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:10.873313
ZAF,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,28560715.670840003,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:10.873313
ZAF,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1584.595303,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:15.987807
ZAF,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,39770759,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:45.211603
ZAF,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,115548.73364,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:15.987807
ZAF,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,49895185.785752006,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:45.211603
ZAF,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,43426041.297215,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:45.211603
ZAF,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1580.751165,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:07.973692
ZAF,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,39637205.029999994,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:22.316555
ZAF,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,111153.73319,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:07.973692
