iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
SDN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,121.25455000000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:46.558105
SDN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,903576.2999999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:30.542731
SDN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,71991.22291499999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:46.558105
SDN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,6982850.226059999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:30.542731
SDN,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,2951462.99737,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:30.542731
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,129.92531,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:27.741191
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,940794.5700000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:03.851335
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,72521.46978,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:27.741191
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,7066898.313360001,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:03.851335
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,3005825.9309900003,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:03.851335
SDN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,124.736569,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:14.638321
SDN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,934063.243,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:40.71341
SDN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,72737.417405,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:14.638321
SDN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,7076936.759236,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:40.71341
SDN,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,3003766.121125,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:40.71341
SDN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,122.558127,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:03.467906
SDN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,921218.4029999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:17.50175
SDN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,74467.707945,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:03.467906
SDN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,7208861.215908,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:17.50175
SDN,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,3038792.129115,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:17.50175
