iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,28.383640000000003,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:47.545301
UGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,293125.0948,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:33.616883
UGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,165723.524258,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:47.545301
UGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,14221394.413431998,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:33.616883
UGA,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,4940905.438623999,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:33.616883
UGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,29.578055,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:32.646525
UGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,319049.7519,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:07.95495
UGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,171147.124752,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:32.646525
UGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,14703216.837588001,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:07.95495
UGA,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,5119007.429531,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:07.95495
UGA,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,36.199317,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:15.648608
UGA,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,340807.0909,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:44.208151
UGA,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,175897.820878,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:15.648608
UGA,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,15125780.66434,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:44.208151
